,CensusTract,TotalPop,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,restaurants,bar,park,subway_station,FELONY,MISDEMEANOR,VIOLATION,target
57,36005009300,6517.0,30159.0,4279.0,11783.0,1621.0,40.7,49.70000000000001,16.5,34.100000000000016,22.0,14.400000000000004,13.0,3.899999999999999,40.100000000000016,2021.0,87.20000000000003,6.700000000000002,6.099999999999999,0.0,9.5,973.0,28.0,70.0,9.0,62,114,25,201
58,36005009600,2562.0,41250.0,7688.0,17217.0,2647.0,15.599999999999996,10.599999999999998,19.7,40.3,21.2,3.399999999999999,15.199999999999998,3.7000000000000006,38.0,932.0,70.89999999999998,19.800000000000004,9.2,0.0,17.099999999999998,220.0,11.0,30.0,11.0,12,34,10,56
59,36005009800,5041.0,57438.0,12832.0,24276.0,3162.0,23.300000000000008,41.2,34.89999999999999,21.300000000000004,24.6,8.099999999999998,11.099999999999996,0.0,48.3,2290.0,69.10000000000001,25.899999999999995,4.9,0.0,12.7,140.0,9.0,6.0,0.0,23,40,10,73
60,36005011502,4566.0,21765.0,5551.0,10986.0,2596.0,47.600000000000016,56.70000000000001,13.699999999999998,39.8,18.4,10.400000000000004,17.699999999999992,2.7,40.5,1332.0,84.60000000000002,7.0,8.400000000000004,0.0,18.5,100.0,6.0,28.0,2.0,27,71,18,116
61,36005011700,1603.0,25483.0,7151.0,14854.0,2448.0,33.39999999999999,42.2,13.0,37.2,24.300000000000008,9.2,16.300000000000004,5.6000000000000005,38.3,608.0,87.70000000000003,10.5,1.8000000000000005,0.0,16.800000000000004,484.0,12.0,36.0,0.0,20,17,3,40
62,36005011800,5364.0,83077.0,11253.0,28379.0,2907.0,11.3,11.3,38.9,19.5,27.6,3.9,10.0,3.1,34.7,2315.0,74.2,24.4,1.4,0.0,7.0,771.0,15.0,12.0,0.0,6,3,2,11
63,36005011900,5603.0,22097.0,5308.0,13201.0,4619.0,39.3,46.3,18.6,48.3,18.300000000000008,4.4,10.3,7.0,44.3,1866.0,82.89999999999998,13.199999999999998,3.899999999999999,0.0,15.599999999999996,60.0,5.0,35.0,8.0,42,71,16,129
64,36005012101,3057.0,27813.0,4935.0,11175.0,1384.0,43.100000000000016,48.5,14.199999999999998,35.7,25.5,9.8,14.800000000000002,2.7,46.399999999999984,1259.0,80.5,16.900000000000002,2.5,0.0,10.599999999999998,40.0,2.0,25.0,5.0,10,29,7,46
65,36005012102,1835.0,20028.0,4672.0,8603.0,1677.0,49.60000000000001,61.0,11.0,37.1,32.2,6.299999999999999,13.5,0.0,44.10000000000001,510.0,87.10000000000002,8.6,4.3,0.0,17.7,20.0,1.0,14.0,2.0,4,8,4,16
66,36005012300,4379.0,21300.0,9643.0,15115.0,5578.0,45.100000000000016,59.5,22.800000000000008,31.399999999999995,29.899999999999995,8.599999999999998,7.200000000000002,4.5,43.3,1520.0,93.5,4.5,2.0,0.0,10.599999999999998,60.0,5.0,22.0,5.0,27,40,10,77
67,36005012500,4272.0,26348.0,2834.0,14459.0,2055.0,42.899999999999984,57.0,30.800000000000008,26.800000000000008,14.199999999999998,7.900000000000001,20.300000000000004,3.0,39.3,1421.0,74.5,14.099999999999996,9.7,1.6999999999999995,13.5,20.0,1.0,11.0,2.0,14,26,10,50
68,36005012701,1992.0,18641.0,3928.0,11700.0,1884.0,49.399999999999984,59.899999999999984,17.400000000000002,34.300000000000004,27.300000000000008,8.799999999999997,12.2,0.5,39.7,656.0,83.39999999999998,14.800000000000002,1.8000000000000005,0.0,9.0,40.0,4.0,30.0,6.0,25,35,10,70
69,36005012901,4017.0,18269.0,4443.0,9415.0,1262.0,48.899999999999984,54.100000000000016,6.700000000000002,49.600000000000016,30.399999999999995,6.900000000000001,6.299999999999998,5.799999999999998,43.399999999999984,995.0,88.60000000000002,10.2,1.1999999999999995,0.0,14.099999999999996,80.0,7.0,41.0,9.0,21,71,18,110
70,36005013000,1364.0,77917.0,19751.0,33654.0,5735.0,5.700000000000002,3.2,23.4,15.099999999999996,36.10000000000001,12.3,13.0,2.0,39.2,747.0,76.29999999999998,22.800000000000008,0.9000000000000002,0.0,6.700000000000002,20.0,3.0,1.0,0.0,10,10,2,22
71,36005013100,4685.0,25271.0,7236.0,12742.0,1342.0,35.5,37.7,18.2,31.399999999999995,35.80000000000001,5.1000000000000005,9.5,4.9,42.8,1686.0,80.5,9.2,10.3,0.0,11.5,40.0,3.0,24.0,3.0,35,50,19,104
72,36005013200,7426.0,96701.0,6298.0,38669.0,4873.0,7.0,15.8,38.5,23.6,25.2,5.9,6.9,0.0,41.4,3797.0,73.2,24.300000000000004,2.5,0.0,7.5,324.0,15.0,5.0,0.0,13,15,7,35
73,36005013300,7284.0,25282.0,8305.0,13793.0,1895.0,25.5,26.399999999999995,13.400000000000004,44.100000000000016,21.2,1.3000000000000005,20.0,2.1000000000000005,36.5,2479.0,72.70000000000002,13.599999999999996,13.800000000000002,0.0,15.0,40.0,2.0,23.0,2.0,29,50,16,95
